N-Z,N,Z,A,EL,S2n,D_S2n,is_from_experiment,S2p,D_S2p,is_from_experiment,Qa,D_Qa,is_from_experiment,Q2b,D_Q2b,is_from_experiment,Qep,D_Qep,is_from_experiment,Qbn,D_Qbn,is_from_experiment
-5,8,13,21,Al,999999.0,999999.0,1,418.0,600.0,0,-10055.0,603.0,0,999999.0,999999.0,1,12950.0,600.0,0,999999.0,999999.0,1
10,16,6,22,C,34.9999,20.0,1,999999.0,999999.0,1,999999.0,999999.0,1,44328.1708,238.3858,1,999999.0,999999.0,1,20307.9695,267.5007,1
8,15,7,22,N,6144.3294,222.2533,1,52214.7062,584.5324,1,-22452.7511,291.2997,1,28971.4287,208.1489,1,-53907.0533,596.0522,1,15631.4527,208.1255,1
6,14,8,22,O,10655.7758,56.9279,1,42798.4768,237.5453,1,-18061.1494,64.3428,1,17307.7478,56.921,1,-43649.0,599.0,0,1259.3192,56.9495,1
4,13,9,22,F,13331.797,12.399,1,33551.0641,79.8625,1,-12744.7075,22.3285,1,7974.7673,12.3997,1,-29727.5106,134.6201,1,453.8342,12.3991,1
2,12,10,22,Ne,17125.4197,0.0178,1,26398.8296,0.8851,1,-9666.8153,0.0177,1,-7624.7294,0.16,1,-23375.7206,12.0,1,-13911.1765,0.0459,1
0,11,11,22,Na,28174.5161,1.1168,1,19741.8704,0.1351,1,-8479.4198,0.4817,1,-23383.0,401.0,0,-12422.7573,1.8048,1,-24156.5602,0.7659,1
-2,10,12,22,Mg,34020.3164,1.8698,1,7935.9963,0.1593,1,-8142.5196,0.3967,1,-34040.0,500.0,0,-1957.181,0.1638,1,-35561.0,600.0,0
-4,9,13,22,Al,999999.0,999999.0,1,3227.0,401.0,0,-9262.0,411.0,0,999999.0,999999.0,1,13097.0,401.0,0,999999.0,999999.0,1
-6,8,14,22,Si,999999.0,999999.0,1,-1584.0,500.0,0,999999.0,999999.0,1,999999.0,999999.0,1,15447.0,500.0,0,999999.0,999999.0,1
11,17,6,23,C,-2385.0,1161.0,0,999999.0,999999.0,1,999999.0,999999.0,1,49549.0,1004.0,0,999999.0,999999.0,1,24335.0,1018.0,0
9,16,7,23,N,4654.1225,441.4155,1,56240.3999,699.2744,1,-25474.7374,672.9671,1,33435.1656,421.8875,1,999999.0,999999.0,1,19366.0789,424.404,1
7,15,8,23,O,9583.2993,122.302,1,45600.0,608.0,0,-20217.2997,156.5064,1,19775.4156,121.7119,1,-46278.8034,261.5369,1,3756.6767,122.3418,1
5,14,9,23,F,12809.7675,33.369,1,36524.5941,138.1271,1,-14995.9075,37.1394,1,12815.1169,33.3204,1,-35768.5122,210.434,1,3238.6611,33.3204,1
3,13,10,23,Ne,15564.9047,0.1113,1,27794.0209,12.0005,1,-10911.8187,2.639,1,319.6296,0.1091,1,-21726.0482,56.9211,1,-8043.9716,0.1677,1
1,12,11,23,Na,23487.6323,0.0424,1,24060.1904,1.8,1,-10467.3243,0.002,1,-16277.9246,0.3447,1,-19612.2004,12.399,1,-17201.1852,0.1593,1
-1,11,12,23,Mg,32520.1613,0.7552,1,14319.8403,0.0499,1,-9650.644,0.1632,1,-29423.0,500.0,0,-4737.9299,0.0363,1,-31746.0,401.0,0
-3,10,13,23,Al,36484.0,600.0,0,5645.0136,0.3473,1,-8606.2292,10.5408,1,999999.0,999999.0,1,4640.4916,0.369,1,-34963.0,500.0,0
-5,9,14,23,Si,999999.0,999999.0,1,1532.0,500.0,0,-10314.0,504.0,0,999999.0,999999.0,1,17061.0,500.0,0,999999.0,999999.0,1
10,17,7,24,N,969.0,451.0,0,999999.0,999999.0,1,-24888.0,677.0,0,39393.0,412.0,0,999999.0,999999.0,1,24245.0,419.0,0
8,16,8,24,O,6925.2638,174.4236,1,49688.7407,284.203,1,-21428.0782,283.4984,1,24452.0468,164.8753,1,-52959.0,1010.0,0,7143.8229,168.2077,1
6,15,9,24,F,11391.4961,98.4542,1,38798.2308,229.5904,1,-16646.8978,125.5539,1,15962.4166,97.6703,1,-36464.8842,431.7618,1,4627.2428,97.6704,1
4,14,10,24,Ne,14069.5628,0.5123,1,29812.6166,56.9233,1,-12172.73,1.0227,1,7981.9358,0.5128,1,-27861.9841,121.7129,1,-4493.1069,0.5127,1
2,13,11,24,Na,19379.1454,0.1328,1,25789.2187,12.399,1,-10825.3534,0.034,1,-8369.0886,0.2285,1,-18992.1352,33.3204,1,-11015.5442,0.0357,1
0,12,12,24,Mg,29676.2279,0.1597,1,20486.8045,0.0219,1,-9316.5618,0.013,1,-24678.7638,19.4721,1,-16068.5042,0.1052,1,-28752.9673,0.3449,1
-2,11,13,24,Al,34393.0,401.0,0,9445.3628,0.2632,1,-9324.2165,1.1277,1,-34069.0,500.0,0,2192.0703,0.2279,1,-32070.0,500.0,0
-4,10,14,24,Si,39037.0,501.0,0,3432.7702,19.4727,1,-9157.4242,19.561,1,999999.0,999999.0,1,8929.8891,19.4721,1,999999.0,999999.0,1
-6,9,15,24,P,999999.0,999999.0,1,-1241.0,641.0,0,999999.0,999999.0,1,999999.0,999999.0,1,19983.0,500.0,0,999999.0,999999.0,1
11,18,7,25,N,-3120.0,656.0,0,999999.0,999999.0,1,-24825.0,752.0,0,44649.0,512.0,0,999999.0,999999.0,1,29411.0,529.0,0
9,17,8,25,O,3434.9766,205.1014,1,51420.0,1010.0,0,-20739.0,619.0,0,29364.5331,167.62,1,999999.0,999999.0,1,11713.1962,191.8132,1
7,16,9,25,F,8093.7327,102.0362,1,39964.2043,431.4857,1,-16322.6644,165.1362,1,20691.9805,96.4499,1,-42893.0,412.0,0,9214.4912,96.4438,1
5,15,10,25,Ne,13024.0941,29.0455,1,31234.8157,125.1296,1,-12522.4526,31.4266,1,11157.279,29.0454,1,-27824.8784,167.4133,1,-1688.9203,29.0453,1
3,14,11,25,Na,15970.5962,1.2,1,27221.0192,33.342,1,-11735.1243,2.1633,1,-441.8397,1.2017,1,-24191.3006,97.6777,1,-3495.5535,1.2001,1
1,13,12,25,Mg,23861.7435,0.0566,1,22616.6791,0.1145,1,-9885.9215,0.0607,1,-17020.1037,10.0001,1,-14530.1107,0.5148,1,-21215.2879,0.2326,1
-1,12,13,25,Al,31806.6812,0.3507,1,13964.0625,0.0648,1,-9156.0324,0.0774,1,-29106.0,400.0,0,-7787.0443,0.0669,1,-27732.4776,19.4722,1
-3,11,14,25,Si,36265.0,500.0,0,5276.9459,10.0001,1,-9501.4448,10.0284,1,999999.0,999999.0,1,10471.9288,10.0,1,-38264.0,500.0,0
-5,10,15,25,P,999999.0,999999.0,1,1136.0,400.0,0,-9324.0,721.0,0,999999.0,999999.0,1,12950.0,400.0,0,999999.0,999999.0,1
10,18,8,26,O,-18.0001,5.0,1,999999.0,999999.0,1,-21375.0782,284.247,1,34179.927,165.9765,1,999999.0,999999.0,1,15255.5557,191.0752,1
