N-Z,N,Z,A,EL,Sn,D_Sn,is_from_experiment,Sp,D_Sp,is_from_experiment,Q4b,D_Q4b,is_from_experiment,Qda,D_Qda,is_from_experiment,Qpa,D_Qpa,is_from_experiment,Qna,D_Qna,is_from_experiment
11,18,7,25,N,-973.0,643.0,0,999999.0,999999.0,1,65341.0,503.0,0,2523.0,1116.0,0,7236.0,554.0,0,999999.0,999999.0,1
9,17,8,25,O,-757.3077,8.3205,1,26898.0,433.0,0,40521.8121,165.0843,1,1319.4082,451.8092,1,428.2808,265.3772,1,-20635.7706,284.3248,1
7,16,9,25,F,4281.6671,137.2612,1,14455.2086,191.0097,1,20250.1408,96.4424,1,7423.6032,155.2898,1,6915.1899,111.9872,1,-14784.2355,229.0707,1
5,15,10,25,Ne,4155.1786,29.0499,1,16868.9899,101.8976,1,-5862.8246,30.7186,1,5390.0407,44.2027,1,35.1764,31.5811,1,-5672.1328,63.9033,1
3,14,11,25,Na,9011.231,1.2001,1,10695.1423,1.3049,1,-29548.0,400.0,0,6507.0384,1.2045,1,3530.9573,1.2001,1,-6504.7873,12.4569,1
1,13,12,25,Mg,7330.5219,0.0471,1,12063.8523,0.0497,1,999999.0,999999.0,1,7047.8786,0.0469,1,-3147.3353,0.1398,1,478.336,0.0501,1
-1,12,13,25,Al,16938.4799,0.2369,1,2271.3669,0.065,1,999999.0,999999.0,1,7268.5076,0.0721,1,-3651.9324,0.1719,1,1911.8197,0.1468,1
-3,11,14,25,Si,14989.182,21.8898,1,3412.8372,10.0026,1,999999.0,999999.0,1,7790.0576,10.0059,1,-9510.0,401.0,0,9873.7102,10.0013,1
-5,10,15,25,P,21901.0,640.0,0,-2156.0,400.0,0,999999.0,999999.0,1,6951.0,640.0,0,-8586.0,640.0,0,7635.0,566.0,0
10,18,8,26,O,739.3077,9.7073,1,28611.0,529.0,0,50875.5841,164.9503,1,-1566.0,433.0,0,2804.6668,451.7603,1,-23863.0,1010.0,0
8,17,9,26,F,730.8299,144.0693,1,15943.3462,196.7426,1,30884.7944,107.0272,1,10885.0577,196.5665,1,8917.3396,162.0759,1,-12399.3718,433.9742,1
6,16,10,26,Ne,5554.7015,34.3984,1,18142.0243,98.1873,1,7622.1169,18.4291,1,3647.4047,99.3937,1,2059.9054,38.0772,1,-8493.8549,123.0991,1
