#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	AME2021_Qb	AME2020_D_Qb	AME2020_Qb1n	AME2020_D_Qb1n	AME2021_Qb2n	AME2021_D_Qb2n	Qb3n	D_Qb3n	T12	D_T12	P1n	D_P1n	P2n	D_P2n	P3n	D_P3n	Neueff_1n	lowerEff	upperEff	Neueff_2n	lowerEff	upperEff	D_T12_Hi	D_P1n_Hi	D_P2n_Hi
109Mo	42	109	0	0	0	100	0	7623.5438	14.7805	1192.2278	14.2078	0	0	0	0	0.692	0.026	1.3	0.6	0	0	0	0	0.6732	0.020522824367031	0.020213711485029	0.673097	0.020193880713427	0.020193049281079	0.026	0.6	0
110Mo	42	110	0	0	0	100	0	6498.7491	26.0147	1675.6959	26.0781	0	0	0	0	0.287	0.01	2	0.7	0	0	0	0	0.6732	0.020879349127787	0.020202138995661	0.673097	0.020193880713427	0.020193049281079	0.01	0.7	0
111Mo	42	111	0	0	0	100	0	9084.862	6.7999	3023.432	15.3154	0	0	0	0	0.186	0.009	6	6	0	0	0	0	0.669407	0.024490231674774	0.02043727005948	0.673097	0.020193880713427	0.020193049281079	0.009	6	0
111Mo	42	111	1	0	0	100	0	0	0	0	0	0	0	0	0	0.2	0.1	0	0	0	0	0	0	0.673097	0.020193880713427	0.020193049281079	0.673097	0.020193880713427	0.020193049281079	0.1	0	0
112Mo	42	112	0	0	0	100	0	7779	200	3474	201	0	0	0	0	0.125	0.005	0	0	0	0	0	0	0.668179	0.025724224817026	0.020664638865388	0.673097	0.020193880713427	0.020193049281079	0.005	0	0
113Mo	42	113	0	0	0	100	0	10162	300	4538	300	232.4906	300.205287162	0	0	0.08	0.002	0	0	0	0	0	0	0.663426	0.030621995946189	0.021291303875724	0.67313	0.020194756577142	0.020194227447714	0.002	0	0
114Mo	42	114	0	0	0	100	0	8920	527	5060	300	0	0	0	0	0.058	0.002	0	0	0	0	0	0	0.662472	0.033931434389156	0.021113416699	0.673097	0.020193880713427	0.020193049281079	0.002	0	0
115Mo	42	115	0	0	0	100	0	11247	445	5979	589	2119	486.251992284	0	0	0.0455	0.002	0	0	0	0	0	0	0.656891	0.037355929011241	0.02337542280458	0.673293	0.020413074669537	0.020201997858234	0.002	0	0
116Mo	42	116	0	0	0	100	0	10003	582	6515	537	1247	784.474346298	0	0	0.032	0.004	0	0	0	0	0	0	0.654812	0.039718147990681	0.024377063724116	0.673954	0.020232674333968	0.020293525043826	0.004	0	0
117Mo	42	117	0	0	0	100	0	12450	640	7453	582	3964	779.503046819	0	0	0.022	0.005	0	0	0	0	0	0	0.651419	0.046271410246554	0.025594018269996	0.671861	0.021399178184895	0.020220988279234	0.005	0	0
118Mo	42	118	0	0	0	100	0	10920	640	7698	640	2701	811.542358722	-520	930	0.0205	0.0055	0	0	0	0	0	0	0.650485	0.047763392746982	0.025959156818019	0.6732	0.020541200451775	0.020209225046993	0.0055	0	0
109Tc	43	109	0	0	0	100	0	6455.6267	12.6574	1307.2575	12.4699	0	0	0	0	0.89	0.07	0.08	0.02	0	0	0	0	0.6732	0.020535926007853	0.020210445616067	0.673098	0.020193910711984	0.020193094533617	0.07	0.02	0
110Tc	43	110	0	0	0	100	0	9038.0654	12.5086	1632.5736	12.5209	0	0	0	0	0.911	0.014	0.04	0.02	0	0	0	0	0.6732	0.020809581254797	0.020202979408988	0.673098	0.020193910711984	0.020193094533617	0.014	0.02	0
111Tc	43	111	0	0	0	100	0	7760.65	13.8477	2976.6355	13.3464	0	0	0	0	0.294	0.02	0.85	0.2	0	0	0	0	0.669421	0.02428239130969	0.020435089153632	0.673098	0.020193910711984	0.020193094533617	0.02	0.2	0
112Tc	43	112	0	0	0	100	0	10371.9409	11.0602	3455.0753	11.1321	0	0	0	0	0.305	0.01	1.7	0.4	0	0	0	0	0.668236	0.02566238214832	0.020652523151576	0.673098	0.020193910711984	0.020193094533617	0.01	0.4	0
113Tc	43	113	0	0	0	100	0	9056.2674	38.4285	4748.0062	10.1685	0	0	0	0	0.152	0.008	2.1	0.3	0	0	0	0	0.663034	0.03209184526699	0.021211791547165	0.673098	0.020193910711984	0.020193094533617	0.008	0.3	0
114Tc	43	114	0	0	0	100	0	11620.919	433.1594	5196.2041	434.8332	887.9429	433.280350325	0	0	0.09	0.02	0.65	0.4	0	0	0	0	0.661474	0.033948786317163	0.021435201967987	0.672731	0.020195972557045	0.02018679141233	0.02	0.4	0
114Tc	43	114	1	0	0	100	0	0	0	0	0	0	0	0	0	0.1	0.02	0.65	0.4	0	0	0	0	0.673098	0.020193910711984	0.020193094533617	0.673098	0.020193910711984	0.020193094533617	0.02	0.4	0
115Tc	43	115	0	0	0	100	0	10309	197	6353	196	0	0	0	0	0.078	0.002	0	0	0	0	0	0	0.655363	0.039137755129697	0.02416105222444	0.673098	0.020193910711984	0.020193094533617	0.002	0	0
116Tc	43	116	0	0	0	100	0	12855	298	6820	299	2864.6597	298.044502701	0	0	0.057	0.003	0	0	0	0	0	0	0.653638	0.041422452130935	0.024776180245139	0.6732	0.020552609566671	0.020207243552746	0.003	0	0
117Tc	43	117	0	0	0	100	0	11350	589	7858	400	1822.7886	731.552246374	0	0	0.0445	0.003	0	0	0	0	0	0	0.64947	0.047485435333479	0.026333464979186	0.67351	0.020255769279146	0.02022546803142	0.003	0	0
118Tc	43	118	0	0	0	100	0	13710	447	8128	589	4636	489.702971198	0	0	0.03	0.004	0	0	0	0	0	0	0.647675	0.04632573292526	0.026991384552529	0.670013	0.021363855507658	0.020359685634904	0.004	0	0
119Tc	43	119	0	0	0	100	0	11910	583	8759	539	3177	785.886760291	0	0	0.022	0.003	0	0	0	0	0	0	0.64385	0.047787578304932	0.028402949076636	0.6732	0.020747070058203	0.020203845797273	0.003	0	0
120Tc	43	120	0	0	0	100	0	14720	640	9009	583	5857	780.646526925	-240	660	0.021	0.005	0	0	0	0	0	0	0.642378	0.049065972673489	0.028944287197919	0.669436	0.024072309533703	0.020432762864733	0.005	0	0
121Tc	43	121	0	0	0	100	0	13080	640	10109	640	4397	812.15762017	1270	540	0.022	0.006	0	0	0	0	0	0	0.636759	0.054177514022636	0.032320471263162	0.670655	0.021455363434873	0.02029696147512	0.006	0	0
114Ru	44	114	0	0	0	100	0	5489.0622	71.6432	474.4127	7.8737	0	0	0	0	0.543	0.05	0	0	0	0	0	0	0.673206	0.02019698211596	0.020197140777655	0.673097	0.020193880713427	0.020193053019989	0.05	0	0
115Ru	44	115	0	0	0	100	0	8123.9327	26.1788	1533.6616	75.8513	0	0	0	0	0.318	0.019	0	0	0	0	0	0	0.6732	0.020684976601389	0.020204792302818	0.673097	0.020193880713427	0.020193053019989	0.019	0	0
115Ru	44	115	1	61.7	0	100	0	0	0	0	0	0	0	0	0	0.076	0.006	0	0	0	0	0	0	0.673097	0.020193880713427	0.020193053019989	0.673097	0.020193880713427	0.020193053019989	0.006	0	0
116Ru	44	116	0	0	0	100	0	6666.8252	73.9257	2088.993	8.2128	0	0	0	0	0.204	0.006	0	0	0	0	0	0	0.671237	0.021539835541436	0.020253479285103	0.673097	0.020193880713427	0.020193053019989	0.006	0	0
117Ru	44	117	0	0	0	100	0	9406.8875	433.2361	3174.5535	439.3922	0	0	0	0	0.151	0.003	0	0	0	0	0	0	0.669081	0.024872470526767	0.020490695622767	0.673097	0.020193880713427	0.020193053019989	0.003	0	0
118Ru	44	118	0	0	0	100	0	7887	202	3825	200	0	0	0	0	0.099	0.003	0	0	0	0	0	0	0.66683	0.027032291523473	0.020900594082705	0.673097	0.020193880713427	0.020193053019989	0.003	0	0
119Ru	44	119	0	0	0	100	0	10743	300	4736	301	674.3202	300.276341926	0	0	0.0695	0.002	0	0	0	0	0	0	0.663047	0.032048160255904	0.021214242097895	0.671811	0.020255505467623	0.020203801294531	0.002	0	0
120Ru	44	120	0	0	0	100	0	8899	447	5031	400	0	0	0	0	0.045	0.002	0	0	0	0	0	0	0.662519	0.033865023901142	0.021108675084545	0.673097	0.020193880713427	0.020193053019989	0.002	0	0
121Ru	44	121	0	0	0	100	0	11630	737	5928	447	2060.0315	962.790787547	0	0	0.029	0.002	0	0	0	0	0	0	0.657053	0.037271885776388	0.023296004728882	0.673331	0.020377200396642	0.020200401382272	0.002	0	0
122Ru	44	122	0	0	0	100	0	10099	583	6399	796	697	685.718601177	0	0	0.025	0.001	0	0	0	0	0	0	0.655197	0.039362896411825	0.024249775296446	0.671692	0.02026040852445	0.020209673242722	0.001	0	0
123Ru	44	123	0	0	0	100	0	12640	640	7258	583	3557	976.098867943	0	0	0.019	0.002	0	0	0	0	0	0	0.652066	0.045048945176557	0.025345542359958	0.672984	0.021045479296761	0.020199629670625	0.002	0	0
124Ru	44	124	0	0	0	100	0	11120	721	7529	721	2147	877.405835403	0	0	0.015	0.003	0	0	0	0	0	0	0.651006	0.046929871721883	0.02575458118146	0.673266	0.020439829282076	0.020204519100449	0.003	0	0
115Rh	45	115	0	0	0	100	0	6196.5938	15.3503	1189.8002	10.0152	0	0	0	0	1.03	0.03	0	0	0	0	0	0	0.6732	0.020522468954782	0.020213837265596	0.673098	0.020193900931806	0.020193086808203	0.03	0	0
116Rh	45	116	0	0	0	100	0	9095.2839	74.169	1618.7616	75.0582	0	0	0	0	0.69	0.05	0.525	0.525	0	0	0	0	0.6732	0.02080356933317	0.020203058481329	0.673098	0.020193900931806	0.020193086808203	0.05	0.525	0
116Rh	45	116	1	150	0	100	0	0	0	0	0	0	0	0	0	0.57	0.05	0.525	0.525	0	0	0	0	0.673098	0.020193900931806	0.020193086808203	0.673098	0.020193900931806	0.020193086808203	0.05	0.525	0
117Rh	45	117	0	0	0	100	0	7527.1313	11.4108	2862.9499	11.3325	0	0	0	0	0.42	0.04	3.8	3.8	0	0	0	0	0.669452	0.023842648390512	0.020430293347713	0.673098	0.020193900931806	0.020193086808203	0.04	3.8	0
118Rh	45	118	0	0	0	100	0	10501.5182	24.3424	3465.732	25.2676	0	0	0	0	0.285	0.01	3.1	1.4	0	0	0	0	0.66818	0.025722994793764	0.020664425014019	0.673098	0.020193900931806	0.020193086808203	0.01	1.4	0
119Rh	45	119	0	0	0	100	0	8584.4751	12.4416	4494.2377	9.643	0	0	0	0	0.19	0.006	6.4	1.6	0	0	0	0	0.663489	0.030383775667433	0.021304101103048	0.673098	0.020193900931806	0.020193086808203	0.006	1.6	0
120Rh	45	120	0	0	0	100	0	11660	200	4716	200	626.1174	200.026849936	0	0	0.131	0.005	2.7	2.7	0	0	0	0	0.663085	0.031921227584517	0.021221922497797	0.672075	0.020245762372963	0.020193723135234	0.005	2.7	0
121Rh	45	121	0	0	0	100	0	9932.203	619.4527	5958.1518	619.4478	0	0	0	0	0.076	0.005	0	0	0	0	0	0	0.656907	0.037348536811823	0.023367226236421	0.673098	0.020193900931806	0.020193086808203	0.005	0	0
122Rh	45	122	0	0	0	100	0	12737	301	6231	300	2257.7992	301.643691562	0	0	0.051	0.006	0	0	0	0	0	0	0.655827	0.038506809132102	0.023915462875222	0.6732	0.020515224614905	0.020215777303878	0.006	0	0
123Rh	45	123	0	0	0	100	0	11239	885	7355	400	848.9528	1185.94003907	0	0	0.042	0.004	0	0	0	0	0	0	0.651589	0.045971045957525	0.025528316893773	0.672431	0.020203775904145	0.020190703647592	0.004	0	0
124Rh	45	124	0	0	0	100	0	13690	500	7649	885	3764	583.610315193	0	0	0.03	0.002	0	0	0	0	0	0	0.650546	0.047665587768372	0.025935490149685	0.672411	0.021217441566525	0.020204516763063	0.002	0	0
125Rh	45	125	0	0	0	100	0	12130	640	8499	583	2458	1092.16528053	0	0	0.0265	0.002	0	0	0	0	0	0	0.645321	0.048074393285167	0.027872530881441	0.6732	0.020527104033448	0.020212599461722	0.002	0	0
126Rh	45	126	0	0	0	100	0	14590	640	8688	640	5057	812.15762017	0	0	0.019	0.003	0	0	0	0	0	0	0.644165	0.047849025293129	0.028288654501452	0.669554	0.022072075208833	0.020414838207157	0.003	0	0
127Rh	45	127	0	0	0	100	0	13490	781	9988	721	4087	1009.73313306	150	670	0.0265	0.0135	0	0	0	0	0	0	0.637083	0.05493961537907	0.032114484862755	0.67149	0.021531004135665	0.020238474598892	0.0135	0	0
119Pd	46	119	0	0	0	100	0	7238.4816	16.8566	75.207	8.6227	0	0	0	0	0.92	0.11	0	0	0	0	0	0	0.673049	0.020192019754371	0.020194970580838	0.673098	0.020193900931806	0.020193090646149	0.11	0	0
120Pd	46	120	0	0	0	100	0	5371.9076	5.0261	294.8364	14.8796	0	0	0	0	0.492	0.033	0	0	0	0	0	0	0.672279	0.020239470681243	0.020188709331131	0.673098	0.020193900931806	0.020193090646149	0.033	0	0
121Pd	46	121	0	0	0	100	0	8220.4934	12.5652	1397.8564	5.589	0	0	0	0	0.29	0.001	0	0	0	0	0	0	0.6732	0.020547250545998	0.020207920526368	0.673098	0.020193900931806	0.020193090646149	0.001	0	0
122Pd	46	122	0	0	0	100	0	6489.9492	42.9094	1715.3439	23.0062	0	0	0	0	0.193	0.006	0	0	0	0	0	0	0.6732	0.020952147861258	0.020201329461201	0.673098	0.020193900931806	0.020193090646149	0.006	0	0
123Pd	46	123	0	0	0	100	0	9138.8323	790.1142	2605.0515	790.3645	0	0	0	0	0.108	0.002	10	6	0	0	0	0	0.669531	0.022521083010479	0.020418279676919	0.673098	0.020193900931806	0.020193090646149	0.002	6	0
124Pd	46	124	0	0	0	100	0	7830	391	3097	302	0	0	0	0	0.081	0.017	17	5	0	0	0	0	0.669225	0.024746695023023	0.020466472963422	0.673098	0.020193900931806	0.020193090646149	0.017	5	0
125Pd	46	125	0	0	0	100	0	10560	589	4199	472	0	0	0	0	0.06	0.007	12	4	0	0	0	0	0.664676	0.028830026890005	0.021195597714582	0.673098	0.020193900931806	0.020193090646149	0.007	4	0
126Pd	46	126	0	0	0	100	0	8930	447	4658	589	0	0	0	0	0.0486	0.0008	22	9	0	0	0	0	0.663179	0.031564549298808	0.021240982732371	0.673098	0.020193900931806	0.020193090646149	0.0008	9	0
127Pd	46	127	0	0	0	100	0	11429	539	5429	539	1157	719.756903406	0	0	0.038	0.002	9.5	9.5	0	0	0	0	0.659813	0.034445521849322	0.022056094769295	0.674024	0.020237502151165	0.020282199124316	0.002	9.5	0
128Pd	46	128	0	0	0	100	0	10320	583	6188	539	187	685.718601177	0	0	0.035	0.003	0	0	0	0	0	0	0.655961	0.038325071678588	0.02384567967513	0.673085	0.020193397448238	0.02019258766237	0.003	0	0
129Pd	46	129	0	0	0	100	0	13990	721	8759	671	4627	848.321872876	0	0	0.031	0.007	0	0	0	0	0	0	0.643663	0.047902422650761	0.028471071911892	0.670013	0.021363855507658	0.020359685634904	0.007	0	0
120Ag	47	120	0	0	0	100	0	8305.8535	5.8202	254.1087	37.9597	0	0	0	0	0.94	0.1	0.0005	0.0005	0	0	0	0	0.67274	0.020220441286975	0.020186303421875	0.673097	0.020193880713427	0.020193049281079	0.1	0.0005	0
120Ag	47	120	1	0	0	100	0	0	0	0	0	0	0	0	0	1.52	0.07	0.0005	0.0005	0	0	0	0	0.673097	0.020193880713427	0.020193049281079	0.673097	0.020193880713427	0.020193049281079	0.07	0.0005	0
120Ag	47	120	2	203	1	63	0	0	0	0	0	0	0	0	0	0.44	0.05	0.0005	0.0005	0	0	0	0	0.673097	0.020193880713427	0.020193049281079	0.673097	0.020193880713427	0.020193049281079	0.05	0.0005	0
121Ag	47	121	0	0	0	100	0	6671.0057	12.2642	1483.2164	12.6697	0	0	0	0	0.777	0.012	0.08	0.013	0	0	0	0	0.6732	0.020620596135903	0.020205886271085	0.673097	0.020193880713427	0.020193049281079	0.012	0.013	0
122Ag	47	122	0	0	0	99.8	0	9506.2662	38.2604	1896.4005	38.2406	0	0	0	0	0.529	0.019	0.093	0.006	0	0	0	0	0.672284	0.021257956698385	0.020207342798854	0.673097	0.020193880713427	0.020193049281079	0.019	0.006	0
122Ag	47	122	1	80	50	100	0	0	0	0	0	0	0	0	0	0.2	0.05	0.093	0.006	0	0	0	0	0.673097	0.020193880713427	0.020193049281079	0.673097	0.020193880713427	0.020193049281079	0.05	0.006	0
123Ag	47	123	0	0	0	100	0	7845.6026	32.7136	2972.4855	32.6832	0	0	0	0	0.296	0.007	0.56	0.09	0	0	0	0	0.669419	0.024313301766829	0.020435400138116	0.673097	0.020193880713427	0.020193049281079	0.007	0.09	0
124Ag	47	124	0	0	0	100	0	10469.4858	251.5169	3112.9146	251.5179	0	0	0	0	0.191	0.028	0.65	0.9	0	0	0	0	0.669164	0.024799113149595	0.020476613709459	0.673097	0.020193880713427	0.020193049281079	0.028	0.9	0
124Ag	47	124	1	0	0	100	0	0	0	0	0	0	0	0	0	0.144	0.02	0.65	0.9	0	0	0	0	0.673097	0.020193880713427	0.020193049281079	0.673097	0.020193880713427	0.020193049281079	0.02	0.9	0
125Ag	47	125	0	0	0	100	0	8828.1511	433.1544	4108.1793	433.1526	0	0	0	0	0.16	0.007	11.8	1	0	0	0	0	0.665166	0.028450642660587	0.021123737069951	0.673097	0.020193880713427	0.020193049281079	0.007	1	0
126Ag	47	126	0	0	0	100	0	11535	200	4556	200	0	0	0	0	0.052	0.01	0	0	0	0	0	0	0.663367	0.030842586921659	0.021279364535157	0.673097	0.020193880713427	0.020193049281079	0.01	0	0
126Ag	47	126	1	0	0	100	0	0	0	0	0	0	0	0	0	0.103	0.005	13.7	1.1	0	0	0	0	0.673097	0.020193880713427	0.020193049281079	0.673097	0.020193880713427	0.020193049281079	0.005	1.1	0
127Ag	47	127	0	0	0	100	0	10092	200	5535	200	0	0	0	0	0.084	0.005	14.6	1.5	0	0	0	0	0.659103	0.035322910244601	0.022352047269727	0.673097	0.020193880713427	0.020193049281079	0.005	1.5	0
128Ag	47	128	0	0	0	100	0	12528	300	5960	300	1402.8459	300.0777859	0	0	0.06	0.005	20	5	0	0	0	0	0.656891	0.037355929011241	0.02337542280458	0.673829	0.02022465352279	0.020316641703709	0.005	5	0
129Ag	47	129	0	0	0	100	0	11252	400	7297	400	728.4212	400.083286581	0	0	0.0554111	0.00123190182238	19.7134	0.853174270685655	0	0	0	0	0.651863	0.045440368866154	0.025423077286043	0.671509	0.020268760676788	0.020220274562253	0.001256189570455	2.08679302972288	0
129Ag	47	129	1	0	0	100	0	0	0	0	0	0	0	0	0	0.158	0.06	0	0	0	0	0	0	0.673097	0.020193880713427	0.020193049281079	0.673097	0.020193880713427	0.020193049281079	0.06	0	0
130Ag	47	130	0	0	0	100	0	15220	425	9153	424	5198.0114	425.636174698	0	0	0.0451341	0.003045053626117	65.1371	4.38154732433646	0	0	0	0	0.641273	0.047996299216462	0.029481161365796	0.669532	0.022505752445133	0.020418129520639	0.003061319527456	5.9220698598463	0
131Ag	47	131	0	0	0	100	0	14462	501	12296	501	6229.7452	501.397357182	2650	500	0.035	0.008	0	0	0	0	0	0	0.625129	0.051660256832278	0.036870756230065	0.669158	0.024804252600464	0.020477620713052	0.008	0	0
132Ag	47	132	0	0	0	100	0	16065	504	12740	501	10574.5321	508.05894049	5050	500	0.0245	0.0085	0	0	0	0	0	0	0.623173	0.05508452009536	0.037776400108217	0.660776	0.033960904801822	0.021683491392264	0.0085	0	0
126Cd	48	126	0	0	0	100	0	5553.65	4.7831	85.2627	2.9051	0	0	0	0	0.514	0.009	0	0	0	0	0	0	0.673069	0.020192777220702	0.020192973329475	0.673098	0.020193900931806	0.020193086808203	0.009	0	0
127Cd	48	127	0	0	0	100	0	8138.6978	11.7675	996.8599	7.4844	0	0	0	0	0.47	0.1	0	0	0	0	0	0	0.673374	0.020340702384343	0.02020154166118	0.673098	0.020193900931806	0.020193086808203	0.1	0	0
127Cd	48	127	1	0	0	100	0	0	0	0	0	0	0	0	0	0.36	0.04	0	0	0	0	0	0	0.673098	0.020193900931806	0.020193086808203	0.673098	0.020193900931806	0.020193086808203	0.04	0	0
128Cd	48	128	0	0	0	100	0	6951.8716	6.5665	1570.3337	11.8911	0	0	0	0	0.2461	0.0021	0	0	0	0	0	0	0.6732	0.020730253061649	0.020204070307738	0.673098	0.020193900931806	0.020193086808203	0.0021	0	0
129Cd	48	129	0	0	0	100	0	9712.7471	5.6637	2996.6569	5.4717	0	0	0	0	0.151	0.004	0	0	0	0	0	0	0.66941	0.024445745934416	0.020436801934011	0.673098	0.020193900931806	0.020193086808203	0.004	0	0
129Cd	48	129	1	0	0	100	0	0	0	0	0	0	0	0	0	0.152	0.008	0	0	0	0	0	0	0.673098	0.020193900931806	0.020193086808203	0.673098	0.020193900931806	0.020193086808203	0.008	0	0
130Cd	48	130	0	0	0	100	0	8788.9322	22.4274	3645.9732	22.4426	0	0	0	0	0.135321	0.001037273794491	2.93721	0.181365001651366	0	0	0	0	0.667629	0.026319408399067	0.020789220150763	0.673098	0.020193900931806	0.020193086808203	0.001066989456545	0.217243211652286	0
131Cd	48	131	0	0	0	100	0	12812.6089	19.3644	6623.4513	19.3215	1480.4923	19.5890211945	0	0	0.100138	0.001473450640574	13.5389	0.619347171532251	0	0	0	0	0.654217	0.040270420792191	0.024577679523912	0.673767	0.020220960962825	0.020329799538119	0.001501125288432	1.16037471852846	0
132Cd	48	132	0	0	0	100	0	11946.1243	84.9236	9487.6219	60.108	3298.4643	104.015024595	0	0	0.0828031	0.000722855521466	97.9841	4.80358233841536	0	0	0	0	0.639473	0.048044348782725	0.030599527234193	0.6732	0.020842039655466	0.020202565208409	0.000835625037397	4.67590468664621	0
133Cd	48	133	0	0	0	100	0	13550	283	10200	209	7742	346.538598139	1750	300	0.0650518	0.007871801895183	87.6138	7.72009747337428	5.44225	2.5913305078521	0	0	0.635951	0.052849788107058	0.032837826297746	0.666492	0.02732682851078	0.020942858626692	0.008462077201787	3.60199304099827	2.63153868312457
134Cd	48	134	0	0	0	100	0	12510	361	10159	361	6809	417.135469602	4890	400	0.065	0.015	0	0	0	0	0	0	0.636144	0.053133614726107	0.032714359398625	0.668333	0.025560119483291	0.020632251161715	0.015	0	0
127In	49	127	0	0	0	100	0	6589.681	12.026	1063.9206	14.6335	0	0	0	0	1.087	0.011	0.015	0.015	0	0	0	0	0.673276	0.02042980675284	0.020203449308433	0.673098	0.020193910711984	0.020193098470606	0.011	0.015	0
127In	49	127	1	408.9	0.3	100	0	0	0	0	0	0	0	0	0	3.618	0.032	0.7	0.06	0	0	0	0	0.673098	0.020193910711984	0.020193098470606	0.673098	0.020193910711984	0.020193098470606	0.032	0.06	0
127In	49	127	2	1863	58	100	0	0	0	0	0	0	0	0	0	1.04	0.1	0	0	0	0	0	0	0.673098	0.020193910711984	0.020193098470606	0.673098	0.020193910711984	0.020193098470606	0.1	0	0
128In	49	128	0	0	0	100	0	9171.3131	17.7194	1208.1431	9.3191	0	0	0	0	0.84	0.06	0.0192	0.0036	0	0	0	0	0.6732	0.020525495974519	0.020213007124127	0.673098	0.020193910711984	0.020193098470606	0.06	0.0036	0
128In	49	128	1	340	60	100	0	0	0	0	0	0	0	0	0	0.72	0.1	0.0192	0.0036	0	0	0	0	0.673098	0.020193910711984	0.020193098470606	0.673098	0.020193910711984	0.020193098470606	0.1	0.0036	0
129In	49	129	0	0	0	100	0	7755.7081	17.2376	2455.2229	17.7915	0	0	0	0	0.609	0.007	0.23	0.1	0	0	0	0	0.669576	0.021696894220104	0.020411570096355	0.673098	0.020193910711984	0.020193098470606	0.007	0.1	0
129In	49	129	1	459	5	99.7	0	0	0	0	0	0	0	0	0	1.19	0.03	3.55	0.62	0	0	0	0	0.673098	0.020193910711984	0.020193098470606	0.673098	0.020193910711984	0.020193098470606	0.03	0.62	0
129In	49	129	2	1630	56	100	0	0	0	0	0	0	0	0	0	0.67	0.1	0	0	0	0	0	0	0.673098	0.020193910711984	0.020193098470606	0.673098	0.020193910711984	0.020193098470606	0.1	0	0
130In	49	130	0	0	0	100	0	10225.687	2.5905	2612.7491	17.3625	0	0	0	0	0.275	0.008	1.2	0.29	0	0	0	0	0.669529	0.022578754231731	0.020418580133224	0.673098	0.020193910711984	0.020193098470606	0.008	0.29	0
130In	49	130	1	50	50	100	0	0	0	0	0	0	0	0	0	0.535	0.006	0.975	0.15	0	0	0	0	0.673098	0.020193910711984	0.020193098470606	0.673098	0.020193910711984	0.020193098470606	0.006	0.15	0
130In	49	130	2	50	50	100	0	0	0	0	0	0	0	0	0	0.535	0.006	0.975	0.15	0	0	0	0	0.673098	0.020193910711984	0.020193098470606	0.673098	0.020193910711984	0.020193098470606	0.006	0.15	0
131In	49	131	0	0	0	100	0	9240.2095	4.2397	4036.5294	2.8934	0	0	0	0	0.277924	0.006409324423845	2.84337	0.318873916548924	0	0	0	0	0.665454	0.028230969599084	0.021082548529635	0.673098	0.020193910711984	0.020193098470606	0.006491521077406	0.172749503527507	0
131In	49	131	1	0	0	100	0	0	0	0	0	0	0	0	0	0.33	0.015	1.105	0.27	0	0	0	0	0.673098	0.020193910711984	0.020193098470606	0.673098	0.020193910711984	0.020193098470606	0.015	0.27	0
131In	49	131	2	3764	88	99	0	0	0	0	0	0	0	0	0	0.32	0.06	12	7	0	0	0	0	0.673098	0.020193910711984	0.020193098470606	0.673098	0.020193910711984	0.020193098470606	0.06	7	0
132In	49	132	0	0	0	100	0	14135	60	6781.7072	60.1416	1578.027	60.061730426	0	0	0.213875	0.007595197690574	12.2071	0.958698439406782	0	0	0	0	0.653735	0.041168620504002	0.024742468150985	0.673691	0.020216693303627	0.020304871733968	0.007589397112953	0.937529653483558	0
133In	49	133	0	0	0	100	0	13184	200	10785	200	3432.0523	200.041836327	0	0	0.165787	0.003335803919661	89.3798	3.81045446444384	0	0	0	0	0.633509	0.049992453518235	0.033479309009788	0.6732	0.020958015554914	0.020201283622582	0.003520306600852	5.01808747294226	0
133In	49	133	1	0	0	100	0	0	0	0	0	0	0	0	0	0.167	0.011	80	5	0	0	0	0	0.673098	0.020193910711984	0.020193098470606	0.673098	0.020193910711984	0.020193098470606	0.011	5	0
134In	49	134	0	0	0	100	0	14464	200	10833	200	8434.1587	200.034831457	1390	300	0.12775	0.002292867611202	85.9824	4.26270962700909	11.9419	0.770692061295561	0	0	0.633338	0.049739947165428	0.03348216063846	0.664455	0.029002185405974	0.021228980341093	0.001817316885549	3.65281164721095	1.14777028559725
135In	49	135	0	0	0	100	0	13522	300	11252	300	7621.002	300.021789225	5800	400	0.104358	0.003638011047372	88.2734	4.81687022386944	9.28844	1.03820780833945	0	0	0.630785	0.047654364339507	0.034373009318396	0.666739	0.027111130660836	0.020911934528133	0.003756228163903	3.93493785343555	1.26747526036645
136In	49	136	0	0	0	100	0	15200	361	11591	300	9321	412.699648655	6150	400	0.086	0.009	0	0	0	0	0	0	0.627888	0.048413735731604	0.035799375071216	0.66314	0.031716998559763	0.021232889432199	0.009	0	0
137In	49	137	0	0	0	100	0	14320	500	12269	447	8660	583.095189485	7180	500	0.07	0.035	0	0	0	0	0	0	0.62503	0.051809231414971	0.036902830607014	0.663832	0.029493824045071	0.021326568683255	0.035	0	0
133Sn	50	133	0	0	0	100	0	8049.6228	3.6617	690.0732	3.1162	0	0	0	0	1.42	0.06	0.0294	0.0024	0	0	0	0	0.673846	0.020225699111388	0.020313385674092	0.673098	0.020193910711984	0.020193098470606	0.06	0.0024	0
134Sn	50	134	0	0	0	100	0	7585.2453	4.4136	4418.4363	4.4513	0	0	0	0	1.0186	0.033306457329473	24.1019	1.06473140254291	0	0	0	0	0.663566	0.030095479622701	0.021320190940055	0.673098	0.020193910711984	0.020193098470606	0.034318938480233	1.42920920753401	0
135Sn	50	135	0	0	0	100	0	9058.08	4.0522	5315.4337	4.3472	2148.6248	5.7597405393	0	0	0.514581	0.029549339745754	20.0773	2.06741654261085	0	0	0	0	0.660459	0.033965912701014	0.021802313882084	0.673255	0.020451454948793	0.020205918675539	0.029718812047086	1.67964201245384	0
