#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	AME2021_Qb	AME2020_D_Qb	AME2020_Qb1n	AME2020_D_Qb1n	AME2021_Qb2n	AME2021_D_Qb2n	Qb3n	D_Qb3n	T12	D_T12	P1n	D_P1n	P2n	D_P2n	P3n	D_P3n	Neueff_1n	lowerEff	upperEff	Neueff_2n	lowerEff	upperEff	D_T12_Hi	D_P1n_Hi	D_P2n_Hi
39Si	14	39	0	0	0	100	0	15094.9874	176.2324	8870.5985	153.7432	5173.728	212.5716897	0	0	0.0475	0.002	60	13	0	0	0	0	0.644415	0.047897796943101	0.028197541595013	0.669564	0.02189840624535	0.02041334982521	0.002	13	0
40Si	14	40	0	0	0	100	0	13806.0653	147.8912	10370.1935	166.0437	4145.8046	184.742690888	210	350	0.033	0.001	59	12	0	0	0	0	0.636513	0.053675514112602	0.032477674797499	0.671491	0.021530679199062	0.020238408331015	0.001	12	0
41Si	14	41	0	0	0	100	0	18180	323	13268	311	9832.232	362.569857724	2530	560	0.02	0.0025	80	20	0	0	0	0	0.621338	0.057254284068702	0.038734079764719	0.662952	0.032372822982768	0.021194585248917	0.0025	20	0
42Si	14	42	0	0	0	100	0	15748	315	13748	323	8836.3954	339.47297691	5030	510	0.0125	0.0035	0	0	0	0	0	0	0.619458	0.063681892971139	0.039587087647206	0.664108	0.029274478528192	0.021282873797906	0.0035	0	0
36P	15	36	0	0	0	100	0	10413.0962	13.1124	523.8471	13.1137	0	0	0	0	5.7	0.4	0	0	0	0	0	0	0.673709	0.020215801221146	0.020230158452491	0.673094	0.0201937518939	0.020192872394793	0.4	0	0
37P	15	37	0	0	0	100	0	7900.4135	37.9474	3596.8105	37.9473	0	0	0	0	2.31	0.12	0	0	0	0	0	0	0.668079	0.025830672082176	0.020686257182412	0.673094	0.0201937518939	0.020192872394793	0.12	0	0
38P	15	38	0	0	0	100	0	12239.6512	72.934	4203.5431	72.5808	0	0	0	0	0.61	0.14	12	5.3	0	0	0	0	0.665275	0.028368245329285	0.021107874930047	0.673094	0.0201937518939	0.020192872394793	0.14	5.3	0
39P	15	39	0	0	0	100	0	10388.0361	123.243	6015.2622	112.8728	0	0	0	0	0.204	0.045	26	8	0	0	0	0	0.657304	0.037141880924024	0.023174338600582	0.673094	0.0201937518939	0.020192872394793	0.045	8	0
40P	15	40	0	0	0	100	0	14698.6603	83.7017	6952.1643	97.4172	2579.3904	84.1027271483	0	0	0.149	0.01	15.8	2.1	0	0	0	0	0.65377	0.041075953702988	0.024730503181496	0.6732	0.020529433528473	0.020212037032422	0.01	2.1	0
41P	15	41	0	0	0	100	0	14028.8125	120.2326	9786.7641	120.2287	2040.2681	130.279224077	0	0	0.101	0.005	30	10	0	0	0	0	0.639357	0.048902555067237	0.030672980489416	0.673402	0.020319770772418	0.020203945264319	0.005	10	0
