#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	Qb	D_Qb	Qb1n	D_Qb1n	Qb2n	D_Qb2n	Qb3n	D_Qb3n	T12	D_T12	P1n	D_P1n	P2n	D_P2n	P3n	D_P3n	Neueff_1n	lowerEff	upperEff	Neueff_2n	lowerEff	upperEff	D_T12_Hi	D_P1n_Hi	D_P2n_Hi	b_br	D_b_br	D_b_br_Hi	a_br	D_a_br	D_a_br_Hi
216Ra	88	216	0	0	0	100	0	-4858.27	12.2147	-10810.4	14.7595	-19284.4	20.4392	0	0	1.72e-07	7e-09	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	7e-09	0	0	0	0	0	100	0	0
215Ra	88	215	0	0	0	100	0	-3498.56	14.3395	-11972.6	15.3395	-19751.7	22.2395	0	0	0.00168	1e-05	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1e-05	0	0	0	0	0	100	0	0
217Ra	88	217	0	0	0	100	0	-2812.79	13.2129	-10331.5	11.6095	-16283.7	21.3164	0	0	0.00159	0.00014	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.00014	0	0	0	0	0	100	0	0
212Ra	88	212	0	0	0	100	0	-7498.36	24.1666	-15413.6	54.7218	-25105.5	70.2332	0	0	13	0.2	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.2	0	0	0	0	0	100	0	0
228Ra	88	228	0	0	0	100	0	45.5402	0.6344	-4980.64	2.3398	-11511.6	3.50666	0	0	1.81452e+08	946708	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	946708	0	0	100	0	0	0	0	0
230Ra	88	230	0	0	0	100	0	677.92	18.8884	-4244.95	15.895	-10521	24.7369	0	0	5580	120	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	120	0	0	100	0	0	0	0	0
229Ra	88	229	0	0	0	100	0	1872.03	19.6229	-4404.01	15.5821	-9430.19	23.1389	0	0	240	12	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	12	0	0	100	0	0	0	0	0
232Ra	88	232	0	0	0	100	0	1342.53	15.9313	-3337.22	15.9313	-9484.07	25.9737	0	0	252	48	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	48	0	0	100	0	0	0	0	0
231Ra	88	231	0	0	0	100	0	2453.64	17.3014	-3693.22	19.4944	-8616.08	24.8202	0	0	103.9	1.3	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1.3	0	0	100	0	0	0	0	0
234Ra	88	234	0	0	0	100	0	2089.43	16.2945	-2448.73	15.5032	-8366.43	25.1159	0	0	30	10	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	10	0	0	100	0	0	0	0	0
