#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	QB-	QB-_unc	QB-n	QB-n_unc	QB-2n	QB-2n_unc	QB-3n	QB-3n_unc	T1/2_[s]	D_T1/2_[s]	pn1_%	D_pn1	pn2_%	D_pn2	pn3_%	D_pn3	Neueff_unity	lowerEff	upperEff	D_T1/2_[s] Hi	D_pn1 Hi	D_pn2 Hi
46Cl	17	46	0	0	0	100	0	15910	210	7840	210	2670	210	0	0	0.232	0.002	60	9	0	0	0	0	0.650448	0.047822274523841	0.025974156187133	0.002	9	0
47Cl	17	47	0	0	0	100	0	15590	400	11920	400	3850	400	0	0	0.101	0.006	1.5	1.5	0	0	0	0	0.627287	0.048866856726539	0.036099165064196	0.006	1.5	0
47Ar	18	47	0	0	0	100	0	10345.6	1.8	1976.3	1.3	0	0	0	0	1.23	0.03	0.1	0.1	0	0	0	0	0.672157	0.021299328871683	0.020210722361759	0.03	0.1	0
48Ar	18	48	0	0	0	100	0	10000	310	5360	310	0	0	0	0	0.424	0.024	38	6	0	0	0	0	0.661172	0.033953229908591	0.021540120083825	0.024	6	0
49Ar	18	49	0	0	0	100	0	12420	400	7020	400	2380	400	0	0	0.236	0.008	29	6	0	0	0	0	0.653558	0.0416337631908	0.024803651292251	0.008	6	0
50Ar	18	50	0	0	0	100	0	12400	500	8210	500	2810	500	0	0	0.106	0.006	37	7	0	0	0	0	0.648355	0.046364246509811	0.026739051767452	0.006	7	0
48K	19	48	0	0	0	100	0	11940.15	0.78	1988.6	2.4	0	0	0	0	6.83	0.02	1.14	0.15	0	0	0	0	0.67212	0.021311517190477	0.02021179828615	0.02	0.15	0
49K	19	49	0	0	0	100	0	11688.27	0.83	6541.82	0.81	0	0	0	0	1.263	0.05	86	9	0	0	0	0	0.655172	0.039385050649017	0.024257955470847	0.05	9	0
50K	19	50	0	0	0	100	0	13861.4	7.9	7500.6	7.7	2354.1	7.7	0	0	0.472	0.004	28.6	3	0	0	0	0	0.651744	0.04567095678199	0.025468325767164	0.004	3	0
51K	19	51	0	0	0	100	0	13816	13	9002	13	2641	13	0	0	0.365	0.005	65	8	0	0	0	0	0.643443	0.048100272908	0.02855122368348	0.005	8	0
52K	19	52	0	0	0	100	0	17129	34	11123	34	6309	34	0	0	0.11	0.005	72.2	9.3	2.3	0.3	0	0	0.633176	0.049501591957011	0.033485167436918	0.005	9.3	0.3
53K	19	53	0	0	0	100	0	17090	120	13900	110	7890	110	3080	110	0.03	0.005	75	10	5	5	0	0	0.618686	0.064354638760049	0.039930829629954	0.005	10	5
54K	19	54	0	0	0	100	0	20160	600	16310	600	13120	600	7120	600	0.01	0.005	0	0	0	0	0	0	0.606204	0.087191685593607	0.046555959979947	0.005	0	0
51Ca	20	51	0	0	0	100	0	6896	20	144	15	0	0	0	0	10	0.8	0	0	0	0	0	0	0.67318	0.02021298667095	0.02019588525319	0.8	0	0
52Ca	20	52	0	0	0	100	0	6177	82	891	20	0	0	0	0	4.6	0.3	1	1	0	0	0	0	0.67358	0.020229297955194	0.020249752980222	0.3	1	0
53Ca	20	53	0	0	0	100	0	9520	100	2984	93	0	0	0	0	0.461	0.09	40	10	0	0	0	0	0.669439	0.024019041243332	0.020432298897797	0.09	10	0
54Ca	20	54	0	0	0	100	0	8730	280	5670	110	0	0	0	0	0.107	0.014	0	0	0	0	0	0	0.659047	0.035392438152635	0.022376262811026	0.014	0	0
55Ca	20	55	0	0	0	100	0	11810	540	7470	410	4410	310	0	0	0.022	0.002	0	0	0	0	0	0	0.651838	0.04548969866266	0.025432727368877	0.002	0	0
56Ca	20	56	0	0	0	100	0	10950	710	8190	610	3850	480	790	410	0.011	0.002	0	0	0	0	0	0	0.648349	0.046358724575002	0.026741665752546	0.002	0	0
51Sc	21	51	0	0	0	100	0	6504	20	132	20	0	0	0	0	12.4	0.1	0	0	0	0	0	0	0.673158	0.020202447566263	0.020195152009024	0.1	0	0
